"","Species","Extent","X_round","Y_round","Occurrence"
"1","Agrostis.alpina","Alps",4105150,2342150,1
"2","Agrostis.alpina","Alps",4106850,2342550,1
"3","Agrostis.alpina","Alps",4072350,2363750,1
"4","Agrostis.alpina","Alps",4056350,2394250,1
"5","Agrostis.alpina","Alps",4624550,2607650,1
"6","Agrostis.alpina","Alps",4687050,2610750,1
"7","Agrostis.alpina","Alps",4446050,2641850,1
"8","Agrostis.alpina","Alps",4446150,2641850,1
"9","Agrostis.alpina","Alps",4447450,2641950,1
"10","Agrostis.alpina","Alps",4444050,2642050,1
"11","Agrostis.alpina","Alps",4445250,2642050,1
"12","Agrostis.alpina","Alps",4444250,2642550,1
"13","Agrostis.alpina","Alps",4443250,2642950,1
"14","Agrostis.alpina","Alps",4444050,2643250,1
"15","Agrostis.alpina","Alps",4443250,2643350,1
"16","Agrostis.alpina","Alps",4443550,2643750,1
"17","Agrostis.alpina","Alps",4444650,2643850,1
"18","Agrostis.alpina","Alps",4444550,2645650,1
"19","Agrostis.alpina","Alps",4444550,2645850,1
"20","Agrostis.alpina","Alps",4443950,2646550,1
"21","Agrostis.alpina","Alps",4444150,2646750,1
"22","Agrostis.alpina","Alps",4574850,2648650,1
"23","Agrostis.alpina","Alps",4575650,2648650,1
"24","Agrostis.alpina","Alps",4575550,2649750,1
"25","Agrostis.alpina","Alps",4522950,2649850,1
"26","Agrostis.alpina","Alps",4577850,2651050,1
"27","Agrostis.alpina","Alps",4530450,2653450,1
"28","Agrostis.alpina","Alps",4550750,2653750,1
"29","Agrostis.alpina","Alps",4485450,2654250,1
"30","Agrostis.alpina","Alps",4312150,2654350,1
"31","Agrostis.alpina","Alps",4550650,2655250,1
"32","Agrostis.alpina","Alps",4485450,2655350,1
"33","Agrostis.alpina","Alps",4453450,2655650,1
"34","Agrostis.alpina","Alps",4484650,2656450,1
"35","Agrostis.alpina","Alps",4494450,2657850,1
"36","Agrostis.alpina","Schrankogel",4403450,2658150,1
"37","Agrostis.alpina","Alps",4526450,2658950,1
"38","Agrostis.alpina","Alps",4527150,2658950,1
"39","Agrostis.alpina","Alps",4555350,2658950,1
"40","Agrostis.alpina","Alps",4307850,2659450,1
"41","Agrostis.alpina","Alps",4588850,2659850,1
"42","Agrostis.alpina","Alps",4531750,2660250,1
"43","Agrostis.alpina","Alps",4527150,2661150,1
"44","Agrostis.alpina","Alps",4527850,2661150,1
"45","Agrostis.alpina","Alps",4568150,2662850,1
"46","Agrostis.alpina","Alps",4568950,2662850,1
"47","Agrostis.alpina","Alps",4542950,2663950,1
"48","Agrostis.alpina","Racherin",4534050,2664350,1
"49","Agrostis.alpina","Racherin",4534150,2664650,1
"50","Agrostis.alpina","Racherin",4534150,2664750,1
"51","Agrostis.alpina","Racherin",4533150,2664850,1
"52","Agrostis.alpina","Racherin",4533650,2664850,1
"53","Agrostis.alpina","Racherin",4533050,2664950,1
"54","Agrostis.alpina","Racherin",4533250,2664950,1
"55","Agrostis.alpina","Racherin",4533350,2664950,1
"56","Agrostis.alpina","Racherin",4533450,2664950,1
"57","Agrostis.alpina","Racherin",4533750,2664950,1
"58","Agrostis.alpina","Racherin",4533150,2665050,1
"59","Agrostis.alpina","Racherin",4533250,2665050,1
"60","Agrostis.alpina","Racherin",4533350,2665050,1
"61","Agrostis.alpina","Racherin",4533550,2665050,1
"62","Agrostis.alpina","Racherin",4534150,2665150,1
"63","Agrostis.alpina","Racherin",4533550,2665250,1
"64","Agrostis.alpina","Racherin",4533250,2665350,1
"65","Agrostis.alpina","Racherin",4533450,2665350,1
"66","Agrostis.alpina","Alps",4529950,2665750,1
"67","Agrostis.alpina","Racherin",4531550,2665750,1
"68","Agrostis.alpina","Racherin",4531750,2666050,1
"69","Agrostis.alpina","Racherin",4531250,2666150,1
"70","Agrostis.alpina","Racherin",4531650,2666250,1
"71","Agrostis.alpina","Alps",4531050,2666750,1
"72","Agrostis.alpina","Alps",4529950,2666850,1
"73","Agrostis.alpina","Alps",4530750,2666850,1
"74","Agrostis.alpina","Alps",4531050,2666850,1
"75","Agrostis.alpina","Alps",4583250,2666850,1
"76","Agrostis.alpina","Alps",4590850,2667150,1
"77","Agrostis.alpina","Alps",4591550,2667250,1
"78","Agrostis.alpina","Alps",4528950,2667650,1
"79","Agrostis.alpina","Alps",4528850,2667750,1
"80","Agrostis.alpina","Alps",4528950,2667750,1
"81","Agrostis.alpina","Alps",4526850,2667850,1
"82","Agrostis.alpina","Alps",4528450,2667850,1
"83","Agrostis.alpina","Alps",4528750,2667850,1
"84","Agrostis.alpina","Alps",4528850,2667850,1
"85","Agrostis.alpina","Alps",4529150,2667850,1
"86","Agrostis.alpina","Alps",4528250,2667950,1
"87","Agrostis.alpina","Alps",4551250,2667950,1
"88","Agrostis.alpina","Alps",4583150,2667950,1
"89","Agrostis.alpina","Alps",4535250,2668150,1
"90","Agrostis.alpina","Alps",4536750,2668150,1
"91","Agrostis.alpina","Alps",4554950,2668950,1
"92","Agrostis.alpina","Alps",4536750,2669250,1
"93","Agrostis.alpina","Alps",4554950,2670050,1
"94","Agrostis.alpina","Alps",4555650,2670050,1
"95","Agrostis.alpina","Alps",4556450,2671150,1
"96","Agrostis.alpina","Alps",4532750,2672450,1
"97","Agrostis.alpina","Alps",4573050,2674150,1
"98","Agrostis.alpina","Alps",4574550,2674250,1
"99","Agrostis.alpina","Alps",4497050,2674550,1
"100","Agrostis.alpina","Alps",4572950,2675250,1
"101","Agrostis.alpina","Alps",4578250,2675450,1
"102","Agrostis.alpina","Alps",4553150,2675550,1
"103","Agrostis.alpina","Alps",4528350,2676650,1
